ds,yhat,yhat_lower,yhat_upper
2009-12-01,65283.50379458422,49122.635071959725,80692.61577602098
2009-12-02,60899.7463647425,44052.56836867573,76953.14779479563
2009-12-03,66368.53910414463,50507.82132081647,81554.34049329799
2009-12-04,56767.672176297856,42115.187864884996,73379.54954978036
2009-12-05,8506.934438943454,-8054.062967711834,24957.032734520595
2009-12-06,43178.92974348816,26513.207233186826,58394.920097809685
2009-12-07,58876.12855090803,41851.40119611779,74472.68705051794
2009-12-08,58518.35729652968,42408.54493976867,73891.99208289731
2009-12-09,52897.03900879885,37108.61020876141,68332.39420839027
2009-12-10,57131.955488338644,40663.11412864807,73850.988945371
2009-12-11,46324.97538551461,31141.596318414024,62851.83088741696
2009-12-13,30506.645149855016,13570.367224750342,45959.21536275309
2009-12-14,45229.63371671364,29511.18139141849,59715.8804443718
2009-12-15,44022.62910806655,29038.215126056388,59736.13894266039
2009-12-16,37698.33206461062,22604.75505910767,53521.64928955049
2009-12-17,41395.33518938785,25873.504821911134,56835.401391448686
2009-12-18,30231.29518613954,14399.71891410743,46083.11938931852
2009-12-20,14286.602411333604,-2448.4425853718963,28843.604658362496
2009-12-21,29252.791326836377,12628.76350334789,45876.7530181781
2009-12-22,28494.33394784984,11468.637707875516,44959.29541943101
2009-12-23,22819.125339839564,6011.604510680809,38674.13322427145
2010-01-04,21775.763300834195,4978.869427019264,37418.14974834916
2010-01-05,23802.357789642385,8680.326561471236,41160.33746432729
2010-01-06,20822.225422375614,5381.347857134512,37378.340480328814
2010-01-07,27913.668843931504,11460.381192320088,44226.96998050084
2010-01-08,20133.072563064892,4104.748613155483,36695.330870280646
2010-01-10,10680.640969688982,-4386.184800338216,26231.23759710679
2010-01-11,28640.699371835915,12486.29925001809,43742.06010153397
2010-01-12,30637.861730861903,15477.478852753742,46321.622394281025
2010-01-13,27434.207058877815,12685.83563712695,43755.26862633629
2010-01-14,34119.887054995605,18764.554082561288,49655.92778765246
2010-01-15,25767.32306500329,10265.94670797984,40433.38323261785
2010-01-17,14754.693050238435,-999.9050651911529,30629.728179628044
2010-01-18,31775.112900729815,16661.961644000134,47960.71737747699
2010-01-19,32762.324287050164,17877.507599089757,48735.75618192397
2010-01-20,28507.11909076412,13103.887170954345,44802.40354342883
2010-01-21,34128.81100480759,17140.095212122695,49286.90623397469
2010-01-22,24728.678786369484,9470.141329345868,41664.76451048156
2010-01-24,11779.679664000985,-3850.690396193152,27110.618541809257
2010-01-25,27961.03158458072,12182.927786296605,44036.12734168184
2010-01-26,28223.828694904194,11719.030229423328,43714.11768434854
2010-01-27,23376.074423971688,7931.163717532685,39537.206360239
2010-01-28,28550.421429560134,12204.006538428748,44338.54503277663
2010-01-29,18857.32582119313,2604.691115071516,34875.67205844582
2010-01-31,5800.521115316205,-9590.533613174384,21626.173419256043
2010-02-01,22163.606784286054,6600.634385730484,37431.3634299978
2010-02-02,22755.915839701338,7111.201624486869,38582.82509767008
2010-02-03,18373.575760723816,1452.7513293045301,33460.233698986536
2010-02-04,24133.90066113293,7685.018270950918,39700.41429582673
2010-02-05,15129.027283282934,-334.1380778238218,31183.972385062192
2010-02-07,3670.6199783311313,-12607.03695237745,19536.76468462308
2010-02-08,20897.62942085458,5510.862885390506,36386.49360887189
2010-02-09,22364.94162911977,5440.049115902909,38801.120522711775
2010-02-10,18844.727636501193,3510.2968982465973,34722.93184494673
2010-02-11,25431.22716179927,8487.735470297172,40786.465557940835
2010-02-12,17195.018444469195,1821.8624588419339,32717.866646450235
2010-02-14,7026.181736666655,-8010.9808536337405,23457.61609106199
2010-02-15,24743.448225642707,10121.13790615828,39924.97199703038
2010-02-16,26582.98407114753,10876.899174164635,41092.74228135922
2010-02-17,23310.172909078326,7397.340441036831,39446.16224299831
2010-02-18,30016.226435020453,14628.502362465068,46116.457622182716
2010-02-19,21772.47729829305,6264.203239285497,38075.96680794316
2010-02-21,11228.585028060137,-3015.9334695679777,28692.481709440384
2010-02-22,28597.463189842652,12211.515985641297,44022.61422881799
2010-02-23,29999.100223124966,13797.550989048044,45546.33543865153
2010-02-24,26215.264336608358,9841.19508503094,42903.40434680316
2010-02-25,32355.409514224586,16288.057625261034,48241.49501504113
2010-02-26,23510.39997197661,7285.493970880805,40142.63597377827
2010-02-28,11738.894177452534,-3675.0950992863477,26897.737657795613
2010-03-01,28521.48664505583,13123.808881460425,44886.97415878388
2010-03-02,29380.427489748876,13391.801570478003,45194.924601373714
2010-03-03,25114.47540790009,10056.947857042818,40144.01119314366
2010-03-04,30847.921263231037,15408.653784634884,46828.66036256591
2010-03-05,21683.889726505768,6112.681836733184,38278.53458594072
2010-03-07,9571.567012513384,-5899.562673109822,24633.575922853383
2010-03-08,26341.377252938313,11144.676747529626,41583.500631540985
2010-03-09,27293.02639510014,11354.122126518632,43224.11488442545
2010-03-10,23221.393443627323,6483.189867289124,39277.278157466564
2010-03-11,29243.695097904598,12369.520164451851,46041.80782481397
2010-03-12,20453.025494601225,4647.372739640222,35596.69970993266
2010-03-14,9288.063934787286,-5138.8379696954535,23989.328953147135
2010-03-15,26600.31917434004,9950.563941326358,43311.229816497296
2010-03-16,28116.78988531005,13252.906172778487,44985.36141254372
2010-03-17,24613.738476976265,8964.151138260844,40456.6749170075
2010-03-18,31189.62801921067,16054.45444256507,48479.384717818015
2010-03-19,22919.22986364313,6714.263376130727,38378.625296692415
2010-03-21,12627.00744003868,-3327.6425026839024,29585.974116032925
2010-03-22,30262.036704919115,14058.937848776854,44465.91037747123
2010-03-23,32009.46486981411,15375.790878104961,47924.966412748916
2010-03-24,28636.81953079663,13189.269216956875,45229.887942356945
2010-03-25,35236.820019577,18562.01758256361,50413.84477439555
2010-03-26,26881.654829305357,11278.597160627363,43078.202961155424
2010-03-28,16099.098165266367,-202.5203132312588,33716.562639264215
2010-03-29,33339.406772542854,17684.78880446035,50016.94133198664
2010-03-30,34604.610676503515,18592.74495156196,50062.15013816778
2010-03-31,30674.72090641824,15496.010513849855,47155.98127977183
2010-04-01,36657.18535269625,22157.18346448257,53051.22823796728
2010-04-06,32647.699472807588,16317.64525584069,48525.220396565936
2010-04-07,28114.207866313074,12981.626199163056,44779.91210029148
2010-04-08,33558.05517585515,17958.36460640618,49747.57454584748
2010-04-09,24082.76308035861,7978.240346363715,40431.08299427404
2010-04-11,11288.125761475329,-3356.8541989534033,27930.407395049802
2010-04-12,27691.34797132873,11250.96831595982,43220.304765899666
2010-04-13,28263.666713621275,12459.971751848536,43207.70757386781
2010-04-14,23803.992577658282,8170.309425287715,40021.35885269273
2010-04-15,29434.19668535737,13344.438128065452,44411.22151357555
2010-04-16,20252.561588655088,4491.990542953143,36538.790627558585
2010-04-18,8331.821624609436,-7230.439805955859,23884.19115164662
2010-04-19,25291.25515635885,8859.620040233678,40188.505695894644
2010-04-20,26479.73273895999,12028.130385988563,43638.68314317309
2010-04-21,22679.46988712907,6840.895580927403,38625.79300726772
2010-04-22,28994.590724827336,13101.90629875275,44223.55451544748
2010-04-23,20505.085161649597,4822.567853649192,35803.5645994473
2010-04-25,9917.448209009328,-5067.463819816536,25503.604223140934
2010-04-26,27483.17144786979,11145.44850106723,42280.77967222681
2010-04-27,29216.744120156338,13287.766473981987,45921.21564374957
2010-04-28,25886.843592309462,10916.932849622855,42346.00314902234
2010-04-29,32586.28181371973,17408.66040351545,48846.315238236864
2010-04-30,24386.255972519368,7333.599940044971,40551.77942414838
2010-05-02,14071.720267424664,-1787.2665666472567,30131.7789990085
2010-05-04,33229.71510322006,16528.128806000434,49715.735253037295
2010-05-05,29682.069803836734,12734.959211496483,46125.9057383022
2010-05-06,36075.52278925621,20638.43101439498,52913.69296162585
2010-05-07,27491.60613935303,11320.781738845628,43884.51477244034
2010-05-09,16226.481269840038,355.0606799599764,32952.90117634521
2010-05-10,33234.74070519523,17749.83706152669,49316.42004505406
2010-05-11,34288.47274880765,16783.884093113902,49450.74804643822
2010-05-12,30177.874284033744,14865.075926779762,45318.151802586515
2010-05-13,36019.648022776906,19850.12404855118,51877.58849329204
2010-05-14,26910.5277165588,11997.172677678776,43253.38833689913
2010-05-16,14729.292328914786,-716.2131023928631,30084.296013844396
2010-05-17,31369.977703158143,15682.586281828257,48754.22353161464
2010-05-18,32128.64660991267,16249.564089550826,47625.92583162218
2010-05-19,27801.753692952745,10775.92313976997,44478.899536151075
2010-05-20,33509.762455644304,18610.428557078263,49370.24789761809
2010-05-21,24350.60137867789,9758.327542039051,39998.42136739086
2010-05-23,12312.532590439681,-3512.21245771876,28164.31421845366
2010-05-24,29136.438692494685,12982.00923114464,46044.75262104917
2010-05-25,30142.46204601995,15406.73893611098,46238.72209044649
2010-05-26,26117.011190400626,11160.616974881323,41146.55710754427
2010-05-27,32169.033790939302,16285.881219619201,47775.0624273325
2010-05-28,23383.848042102338,7824.537256079853,39592.59289516444
2010-05-30,12130.136645305407,-3408.279574284921,27758.75544886649
2010-06-01,30703.633741309135,15735.70541005152,46103.110707574146
2010-06-02,27003.25177532538,10969.072106702544,41413.17368842972
2010-06-03,33334.62005415458,17962.644064489577,50544.013420169955
2010-06-04,24774.06309640761,9139.103240290917,39829.1873819367
2010-06-06,13779.039968745055,-1515.157096560646,31110.235329573225
2010-06-07,31012.480935479332,16012.10516326217,46925.913378450285
2010-06-08,32334.49428569449,16663.756921289558,48176.99147968077
2010-06-09,28521.22792024399,11390.538109067465,43871.449959978396
2010-06-10,34674.84371757195,19169.286765429322,51128.80976035046
2010-06-11,25877.5139832593,11142.016343291647,41115.09669709202
2010-06-13,14264.107354481734,-1583.635078628138,30055.167555335345
2010-06-14,31135.638332943112,15210.524908561636,48027.95831834464
2010-06-15,32075.47573517065,16707.201137598608,47636.6655481422
2010-06-16,27871.699882307523,11994.882539727298,43925.406256345654
2010-06-17,33638.571330915926,18219.534262881603,48686.68529981363
2010-06-18,24470.14750796959,7666.810756301174,40763.36513851693
2010-06-20,12205.784416431698,-3317.041605308012,28834.238897859526
2010-06-21,28816.956223586498,13194.678070843747,45290.418590054316
2010-06-22,29550.505610010416,12514.804833635782,44776.33893858524
2010-06-23,25200.392075944605,9839.258660515214,40815.13958271077
2010-06-24,30884.855254900634,14814.135059195256,46128.67105857188
2010-06-25,21699.928989117176,6120.0761129449875,36240.50825525448
2010-06-27,9598.006060266951,-6209.1693399026235,25684.2121115806
2010-06-28,26382.038633106284,9600.388488709732,42519.495929527475
2010-06-29,27342.43136467515,10723.19995678726,42439.41848893744
2010-06-30,23265.7981394524,8099.027267792373,38085.534258806714
2010-07-01,29261.717273687515,13162.433151082163,44029.00126993019
2010-07-02,20416.53808874108,3411.119263217358,37302.663165248174
2010-07-04,9037.081831085321,-5531.7614201126,25590.42967282917
2010-07-05,26182.335244351292,11047.348474025846,41983.68607052784
2010-07-06,27489.939036766053,12329.893061897494,44232.53313233964
2010-07-07,23736.760225430877,7335.100863627355,40208.877382180486
2010-07-08,30023.60785633965,14513.716941454839,45963.78119060296
2010-07-09,21429.312657433522,5220.0281359152295,37239.05802389652
2010-07-11,10408.998170602148,-5091.263911197,27550.9515220122
2010-07-12,27655.535708788433,12493.781920135663,43517.669271586834
2010-07-13,29010.61838921487,13017.729640830254,44953.65547992789
2010-07-14,25252.212356166816,8864.881359864845,40765.81159416346
2010-07-15,31484.01406725382,14997.149796562819,47168.85908212524
2010-07-16,22789.410802537255,6243.475934988201,39040.18669676731
2010-07-18,11458.169698385858,-5321.387180845633,27659.400977769783
2010-07-19,28509.738040308857,12499.629438171421,44743.461764478605
2010-07-20,29655.323335876652,13704.216522936296,44866.738023841805
2010-07-21,25682.309000266352,10398.278245320744,41992.19154853857
2010-07-22,31703.85795871912,15214.85119654008,48416.10494761043
2010-07-23,22812.53695791505,6696.998987396058,38124.18430515292
2010-07-25,11161.810084859762,-4733.4185587612255,26625.05070304297
2010-07-26,28104.709458726484,12188.222415304675,44323.40294694736
2010-07-27,29182.849211620407,13822.480139591657,45979.70867636103
2010-07-28,25187.02054494253,9557.737762427845,40996.62473102966
2010-07-29,31232.046830725492,15438.80312619838,47054.01065972389
2010-07-30,22410.33568156063,6711.240229919229,37750.48126181598
2010-08-01,11027.4957875474,-4332.599869867216,26953.573867495124
2010-08-02,28159.482539110577,12599.998932153067,43748.76790194405
2010-08-03,29454.75249380873,13842.4209272053,45510.804893491826
2010-08-04,25695.927274097383,9099.115916363726,41080.45973294248
2010-08-05,31988.67728934543,16476.361887638523,47116.61956236626
2010-08-06,23415.586864415196,7073.812005505308,38571.31613530232
2010-08-08,12492.101011114763,-3355.4983955265816,27731.645541893162
2010-08-09,29814.972292498926,13587.76678268971,44107.63021124694
2010-08-10,31263.050286222024,15296.75769639195,45619.76566886083
2010-08-11,27611.079633919897,12488.214444584664,44374.15815283442
2010-08-12,33958.26146829,16839.3501751915,50362.669101266874
2010-08-13,25382.39079834066,8469.630378991911,41193.79195170073
2010-08-15,14272.230344082647,-1216.56453166143,29929.505560806236
2010-08-16,31411.739982642248,15510.932496332463,48507.83785870666
2010-08-17,32620.443992235494,15596.371363787383,49314.6300279773
2010-08-18,28678.80501956047,13148.884906613524,43886.28972373061
2010-08-19,34693.79766672203,18055.86602490857,50307.42664528886
2010-08-20,25752.86771466497,10560.334889771442,41924.23460480694
2010-08-22,13860.450828506235,-2278.164056476894,28159.03418464263
