Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster
12346.0,321,12,77556.46,2,5,5,255,At Risk,2
12347.0,35,7,5408.5,4,4,5,445,Champion,2
12348.0,71,5,2019.4,3,4,4,344,Loyal Customer,2
12349.0,14,4,4428.69,5,3,5,535,Loyal Customer,2
12350.0,305,1,334.4,2,1,2,212,Potential,0
12351.0,370,1,300.93,2,1,2,212,Potential,0
12352.0,31,10,2849.84,4,5,4,454,Champion,2
12353.0,199,2,406.76,2,2,2,222,Potential,2
12354.0,228,1,1079.4,2,1,3,213,Potential,2
12355.0,209,2,947.61,2,2,3,223,Potential,2
12356.0,18,6,6373.68,5,4,5,545,Champion,2
12357.0,28,3,18287.66,4,3,5,435,Loyal Customer,2
12358.0,146,4,3203.87,3,3,5,335,Loyal Customer,2
12359.0,53,10,8935.94,4,5,5,455,Champion,2
12360.0,47,8,4252.89,4,4,5,445,Champion,2
12361.0,282,4,511.25,2,3,2,232,At Risk,0
12362.0,31,10,4827.19,4,5,5,455,Champion,2
12363.0,105,2,552.0,3,2,2,322,Potential,2
12364.0,3,4,1313.1,5,3,4,534,Loyal Customer,2
12365.0,286,2,641.38,2,2,3,223,Potential,0
12366.0,629,1,500.24,1,1,2,112,Lost,0
12368.0,623,1,917.7,1,1,3,113,Lost,0
12369.0,409,3,1791.15,1,3,4,134,At Risk,0
12370.0,46,7,4320.31,4,4,5,445,Champion,2
12371.0,40,5,4067.38,4,4,5,445,Champion,2
12372.0,67,3,1298.04,3,3,4,334,Loyal Customer,2
12373.0,307,3,1127.65,2,3,3,233,At Risk,0
12374.0,20,4,2989.2200000000003,4,3,5,435,Loyal Customer,2
12375.0,6,2,457.5,5,2,2,522,New Customer,2
12376.0,385,2,503.15,2,2,2,222,Potential,0
12377.0,310,4,3426.32,2,3,5,235,At Risk,0
12378.0,125,2,5416.32,3,2,5,325,Potential,2
12379.0,77,4,1620.22,3,3,4,334,Loyal Customer,2
12380.0,17,11,9676.3,5,5,5,555,Champion,2
12381.0,28,4,1698.3,4,3,4,434,Loyal Customer,2
12383.0,180,5,1850.56,3,4,4,344,Loyal Customer,2
12384.0,24,2,585.27,4,2,2,422,New Customer,2
12385.0,374,1,1938.4,2,1,4,214,Potential,0
12386.0,333,2,660.8,2,2,3,223,Potential,0
12387.0,410,1,143.94,1,1,1,111,Lost,0
12388.0,11,8,3901.11,5,4,5,545,Champion,2
12389.0,398,3,1433.33,2,3,4,234,At Risk,0
12390.0,75,1,549.84,3,1,2,312,Potential,2
12391.0,17,6,2773.42,5,4,4,544,Champion,2
12392.0,586,1,234.75000000000003,1,1,1,111,Lost,0
12393.0,67,6,2399.4500000000003,3,4,4,344,Loyal Customer,2
12394.0,59,2,1272.48,4,2,4,424,New Customer,2
12395.0,14,15,5067.27,5,5,5,555,Champion,2
12396.0,669,1,931.43,1,1,3,113,Lost,0
12397.0,31,2,2409.9,4,2,4,424,New Customer,2
12398.0,41,1,1635.66,4,1,4,414,New Customer,2
12399.0,115,7,1962.3,3,4,4,344,Loyal Customer,2
12400.0,409,1,205.25,1,1,1,111,Lost,0
12401.0,298,1,84.3,2,1,1,211,Potential,0
12402.0,318,6,1256.9,2,4,4,244,At Risk,0
12403.0,45,2,1019.36,4,2,3,423,New Customer,2
12404.0,677,1,63.24,1,1,1,111,Lost,0
12405.0,144,1,1710.39,3,1,4,314,Potential,2
12406.0,17,5,6390.36,5,4,5,545,Champion,2
12407.0,45,5,1708.12,4,4,4,444,Champion,2
12408.0,28,8,4340.77,4,4,5,445,Champion,2
12409.0,74,7,23419.29,3,4,5,345,Loyal Customer,2
12410.0,304,3,1013.71,2,3,3,233,At Risk,0
12411.0,405,1,346.9,2,1,2,212,Potential,0
12412.0,70,6,2596.93,3,4,4,344,Loyal Customer,2
12413.0,62,4,999.45,3,3,3,333,Loyal Customer,2
12414.0,212,6,952.41,2,4,3,243,At Risk,2
12415.0,19,28,144458.37,5,5,5,555,Champion,1
12416.0,652,1,202.56,1,1,1,111,Lost,0
12417.0,34,19,6447.18,4,5,5,455,Champion,2
12418.0,108,4,2021.2,3,3,4,334,Loyal Customer,2
12419.0,381,2,503.01,2,2,2,222,Potential,0
12420.0,59,1,600.39,4,1,2,412,New Customer,2
12421.0,11,6,1098.6,5,4,3,543,Champion,2
12422.0,91,17,5231.8,3,5,5,355,Loyal Customer,2
12423.0,96,9,2413.75,3,5,4,354,Loyal Customer,2
12424.0,158,4,3340.03,3,3,5,335,Loyal Customer,2
12425.0,73,2,1741.41,3,2,4,324,Potential,2
12426.0,190,2,1345.21,3,2,4,324,Potential,2
12427.0,17,3,1129.3,5,3,3,533,Loyal Customer,2
12428.0,21,9,7956.46,4,5,5,455,Champion,2
12429.0,4,8,7485.91,5,4,5,545,Champion,2
12430.0,38,1,256.4,4,1,1,411,New Customer,2
12431.0,31,27,10857.97,4,5,5,455,Champion,2
12432.0,38,5,5059.32,4,4,5,445,Champion,2
12433.0,4,8,17942.57,5,4,5,545,Champion,2
12434.0,80,3,1103.43,3,3,3,333,Loyal Customer,2
12435.0,75,6,13925.93,3,4,5,345,Loyal Customer,2
12436.0,95,1,509.01,3,1,2,312,Potential,2
12437.0,4,38,12517.5,5,5,5,555,Champion,2
12438.0,9,2,2906.85,5,2,4,524,New Customer,2
12439.0,678,2,1158.18,1,2,3,123,Potential,0
12440.0,458,2,859.2,1,2,3,123,Potential,0
12441.0,362,1,347.1,2,1,2,212,Potential,0
12443.0,727,1,485.31,1,1,2,112,Lost,0
12444.0,16,5,5005.46,5,4,5,545,Champion,2
12445.0,17,2,434.98,5,2,2,522,New Customer,2
12446.0,53,1,1002.31,4,1,3,413,New Customer,2
12447.0,238,1,476.49,2,1,2,212,Potential,2
12448.0,39,1,449.45,4,1,2,412,New Customer,2
12449.0,17,6,4835.89,5,4,5,545,Champion,2
12450.0,151,5,688.2,3,4,3,343,Loyal Customer,2
12451.0,6,8,12669.88,5,4,5,545,Champion,2
12452.0,12,2,430.57,5,2,2,522,New Customer,2
12453.0,129,1,707.09,3,1,3,313,Potential,2
12454.0,51,5,16679.78,4,4,5,445,Champion,2
12455.0,68,10,5879.95,3,5,5,355,Loyal Customer,2
12456.0,39,3,3181.04,4,3,5,435,Loyal Customer,2
12457.0,62,8,2995.91,3,4,5,345,Loyal Customer,2
12458.0,66,4,1777.49,3,3,4,334,Loyal Customer,2
12459.0,600,1,454.36,1,1,2,112,Lost,0
12460.0,451,1,326.65,1,1,2,112,Lost,0
12461.0,89,2,826.88,3,2,3,323,Potential,2
12462.0,14,2,1189.59,5,2,3,523,New Customer,2
12463.0,48,4,1344.78,4,3,4,434,Loyal Customer,2
12464.0,5,8,1212.05,5,4,3,543,Champion,2
12465.0,12,2,742.1899999999999,5,2,3,523,New Customer,2
12466.0,677,1,56.73,1,1,1,111,Lost,0
